Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GRLCL_1D_ETHCD Spectral Count	GRLCL_1D_HCD Spectral Count	GRLCL_2D_ETHCD Spectral Count	GRLCL_1D_ETHCD Intensity	GRLCL_1D_HCD Intensity	GRLCL_2D_ETHCD Intensity	Indistinguishable Proteins
sp|Q9C0C9|UBE2O_HUMAN	Q9C0C9	UBE2O_HUMAN	UBE2O	1292	Homo sapiens	1:Experimental evidence at protein level	(E3-independent) E2 ubiquitin-conjugating enzyme	1.0000	0.9836	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q9C0D2|CE295_HUMAN	Q9C0D2	CE295_HUMAN	CEP295	2601	Homo sapiens	1:Experimental evidence at protein level	Centrosomal protein of 295 kDa	1.0000	0.9989	4	5	5	5	0	1	4	     0	     0	     0		
sp|Q9C0D5|TANC1_HUMAN	Q9C0D5	TANC1_HUMAN	TANC1	1861	Homo sapiens	1:Experimental evidence at protein level	Protein TANC1	1.0000	0.9928	3	4	4	4	1	1	2	     0	     0	     0		
sp|Q9C0D7|ZC12C_HUMAN	Q9C0D7	ZC12C_HUMAN	ZC3H12C	883	Homo sapiens	1:Experimental evidence at protein level	Probable ribonuclease ZC3H12C	1.0000	0.9972	5	8	7	8	2	3	3	     0	     0	     0		
sp|Q9C0G0|ZN407_HUMAN	Q9C0G0	ZN407_HUMAN	ZNF407	2248	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 407	1.0000	0.9976	4	6	6	6	1	2	3	     0	     0	     0		
sp|Q9GZL7|WDR12_HUMAN	Q9GZL7	WDR12_HUMAN	WDR12	423	Homo sapiens	1:Experimental evidence at protein level	Ribosome biogenesis protein WDR12	1.0000	0.9989	2	5	5	5	1	2	2	     0	     0	     0		
sp|Q9GZM8|NDEL1_HUMAN	Q9GZM8	NDEL1_HUMAN	NDEL1	345	Homo sapiens	1:Experimental evidence at protein level	Nuclear distribution protein nudE-like 1	1.0000	0.9889	1	3	3	3	0	0	3	     0	     0	     0		
sp|Q9GZN2|TGIF2_HUMAN	Q9GZN2	TGIF2_HUMAN	TGIF2	237	Homo sapiens	1:Experimental evidence at protein level	Homeobox protein TGIF2	1.0000	0.9986	3	6	6	6	1	3	2	     0	     0	     0		
sp|Q9GZQ3|COMD5_HUMAN	Q9GZQ3	COMD5_HUMAN	COMMD5	224	Homo sapiens	1:Experimental evidence at protein level	COMM domain-containing protein 5	1.0000	0.9943	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9GZR7|DDX24_HUMAN	Q9GZR7	DDX24_HUMAN	DDX24	859	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX24	1.0000	0.9986	13	31	31	31	6	11	14	     0	     0	     0		
sp|Q9GZS1|RPA49_HUMAN	Q9GZS1	RPA49_HUMAN	POLR1E	419	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase I subunit RPA49	1.0000	0.9937	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9H0A0|NAT10_HUMAN	Q9H0A0	NAT10_HUMAN	NAT10	1025	Homo sapiens	1:Experimental evidence at protein level	RNA cytidine acetyltransferase	1.0000	0.9977	2	4	4	4	0	1	3	     0	     0	     0		
sp|Q9H0C8|ILKAP_HUMAN	Q9H0C8	ILKAP_HUMAN	ILKAP	392	Homo sapiens	1:Experimental evidence at protein level	Integrin-linked kinase-associated serine/threonine phosphatase 2C	1.0000	0.9928	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9H0D6|XRN2_HUMAN	Q9H0D6	XRN2_HUMAN	XRN2	950	Homo sapiens	1:Experimental evidence at protein level	5'-3' exoribonuclease 2	1.0000	0.9877	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9H0E3|SP130_HUMAN	Q9H0E3	SP130_HUMAN	SAP130	1048	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP130	1.0000	0.9984	4	7	7	7	0	5	2	     0	     0	     0		
sp|Q9H0H5|RGAP1_HUMAN	Q9H0H5	RGAP1_HUMAN	RACGAP1	632	Homo sapiens	1:Experimental evidence at protein level	Rac GTPase-activating protein 1	1.0000	0.9986	3	6	6	6	0	3	3	     0	     0	     0		
sp|Q9H0J9|PAR12_HUMAN	Q9H0J9	PAR12_HUMAN	PARP12	701	Homo sapiens	1:Experimental evidence at protein level	Protein mono-ADP-ribosyltransferase PARP12	1.0000	0.9972	2	2	2	2	1	1	0	     0	     0	     0		
sp|Q9H0K1|SIK2_HUMAN	Q9H0K1	SIK2_HUMAN	SIK2	926	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase SIK2	1.0000	0.9983	2	5	5	5	1	1	3	     0	     0	     0		
sp|Q9H0R1|AP5M1_HUMAN	Q9H0R1	AP5M1_HUMAN	AP5M1	490	Homo sapiens	1:Experimental evidence at protein level	AP-5 complex subunit mu-1	1.0000	0.9946	2	5	5	5	1	2	2	     0	     0	     0		
sp|Q9H0S4|DDX47_HUMAN	Q9H0S4	DDX47_HUMAN	DDX47	455	Homo sapiens	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX47	1.0000	0.9986	3	12	12	12	0	5	7	     0	     0	     0		
sp|Q9H0U9|TSYL1_HUMAN	Q9H0U9	TSYL1_HUMAN	TSPYL1	437	Homo sapiens	1:Experimental evidence at protein level	Testis-specific Y-encoded-like protein 1	1.0000	0.9975	2	3	3	3	0	2	1	     0	     0	     0		
sp|Q9H0Z9|RBM38_HUMAN	Q9H0Z9	RBM38_HUMAN	RBM38	239	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 38	1.0000	0.9969	3	5	5	5	0	3	2	     0	     0	     0		
sp|Q9H116|GZF1_HUMAN	Q9H116	GZF1_HUMAN	GZF1	711	Homo sapiens	1:Experimental evidence at protein level	GDNF-inducible zinc finger protein 1	1.0000	0.9976	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9H147|TDIF1_HUMAN	Q9H147	TDIF1_HUMAN	DNTTIP1	329	Homo sapiens	1:Experimental evidence at protein level	Deoxynucleotidyltransferase terminal-interacting protein 1	1.0000	0.9990	2	11	11	11	1	3	7	     0	     0	     0		
sp|Q9H173|SIL1_HUMAN	Q9H173	SIL1_HUMAN	SIL1	461	Homo sapiens	1:Experimental evidence at protein level	Nucleotide exchange factor SIL1	1.0000	0.9970	3	4	4	4	1	2	1	     0	     0	     0		
sp|Q9H211|CDT1_HUMAN	Q9H211	CDT1_HUMAN	CDT1	546	Homo sapiens	1:Experimental evidence at protein level	DNA replication factor Cdt1	1.0000	0.9934	3	5	5	5	0	2	3	     0	     0	     0		
sp|Q9H223|EHD4_HUMAN	Q9H223	EHD4_HUMAN	EHD4	541	Homo sapiens	1:Experimental evidence at protein level	EH domain-containing protein 4	1.0000	0.9989	6	13	11	14	4	5	4	     0	     0	     0		
sp|Q9H269|VPS16_HUMAN	Q9H269	VPS16_HUMAN	VPS16	839	Homo sapiens	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 16 homolog	1.0000	0.9897	2	3	3	3	1	2	0	     0	     0	     0		
sp|Q9H2J4|PDCL3_HUMAN	Q9H2J4	PDCL3_HUMAN	PDCL3	239	Homo sapiens	1:Experimental evidence at protein level	Phosducin-like protein 3	1.0000	0.9985	1	6	6	6	1	2	3	     0	     0	     0		
sp|Q9H2K2|TNKS2_HUMAN	Q9H2K2	TNKS2_HUMAN	TNKS2	1166	Homo sapiens	1:Experimental evidence at protein level	Poly [ADP-ribose] polymerase tankyrase-2	1.0000	0.9943	3	4	4	4	1	1	2	     0	     0	     0		
sp|Q9H2M9|RBGPR_HUMAN	Q9H2M9	RBGPR_HUMAN	RAB3GAP2	1393	Homo sapiens	1:Experimental evidence at protein level	Rab3 GTPase-activating protein non-catalytic subunit	1.0000	0.9982	2	2	2	2	0	0	2	     0	     0	     0		
sp|Q9H2U1|DHX36_HUMAN	Q9H2U1	DHX36_HUMAN	DHX36	1008	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent DNA/RNA helicase DHX36	1.0000	0.9937	2	2	2	2	0	0	2	     0	     0	     0		
sp|Q9H3F6|BACD3_HUMAN	Q9H3F6	BACD3_HUMAN	KCTD10	313	Homo sapiens	1:Experimental evidence at protein level	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	1.0000	0.9987	2	4	3	4	1	1	2	     0	     0	     0		
sp|Q9H3K2|GHITM_HUMAN	Q9H3K2	GHITM_HUMAN	GHITM	345	Homo sapiens	1:Experimental evidence at protein level	Growth hormone-inducible transmembrane protein	1.0000	0.9990	3	5	5	5	0	1	4	     0	     0	     0		
sp|Q9H3U1|UN45A_HUMAN	Q9H3U1	UN45A_HUMAN	UNC45A	944	Homo sapiens	1:Experimental evidence at protein level	Protein unc-45 homolog A	1.0000	0.9976	3	3	3	3	0	2	1	     0	     0	     0		
sp|Q9H467|CUED2_HUMAN	Q9H467	CUED2_HUMAN	CUEDC2	287	Homo sapiens	1:Experimental evidence at protein level	CUE domain-containing protein 2	1.0000	0.9975	2	2	2	2	0	0	2	     0	     0	     0		
sp|Q9H4A3|WNK1_HUMAN	Q9H4A3	WNK1_HUMAN	WNK1	2382	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase WNK1	1.0000	0.9989	4	9	2	9	2	2	5	     0	     0	     0		
sp|Q9H4L4|SENP3_HUMAN	Q9H4L4	SENP3_HUMAN	SENP3	574	Homo sapiens	1:Experimental evidence at protein level	Sentrin-specific protease 3	1.0000	0.9972	3	5	5	5	0	2	3	     0	     0	     0		
sp|Q9H4L5|OSBL3_HUMAN	Q9H4L5	OSBL3_HUMAN	OSBPL3	887	Homo sapiens	1:Experimental evidence at protein level	Oxysterol-binding protein-related protein 3	1.0000	0.9976	1	5	5	5	2	2	1	     0	     0	     0		
sp|Q9H4L7|SMRCD_HUMAN	Q9H4L7	SMRCD_HUMAN	SMARCAD1	1026	Homo sapiens	1:Experimental evidence at protein level	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	1.0000	0.9972	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9H4W6|COE3_HUMAN	Q9H4W6	COE3_HUMAN	EBF3	596	Homo sapiens	1:Experimental evidence at protein level	Transcription factor COE3	1.0000	0.9986	2	3	0	3	0	0	3	     0	     0	     0	sp|Q9UH73|COE1_HUMAN	
sp|Q9H583|HEAT1_HUMAN	Q9H583	HEAT1_HUMAN	HEATR1	2144	Homo sapiens	1:Experimental evidence at protein level	HEAT repeat-containing protein 1	1.0000	0.9985	4	4	4	4	0	3	1	     0	     0	     0		
sp|Q9H5Z1|DHX35_HUMAN	Q9H5Z1	DHX35_HUMAN	DHX35	703	Homo sapiens	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DHX35	1.0000	0.9985	1	4	4	4	1	1	2	     0	     0	     0		
sp|Q9H668|STN1_HUMAN	Q9H668	STN1_HUMAN	STN1	368	Homo sapiens	1:Experimental evidence at protein level	CST complex subunit STN1	1.0000	0.9961	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q9H6D7|HAUS4_HUMAN	Q9H6D7	HAUS4_HUMAN	HAUS4	363	Homo sapiens	1:Experimental evidence at protein level	HAUS augmin-like complex subunit 4	1.0000	0.9975	2	3	3	3	0	2	1	     0	     0	     0		
sp|Q9H6E4|CC134_HUMAN	Q9H6E4	CC134_HUMAN	CCDC134	229	Homo sapiens	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 134	1.0000	0.9987	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q9H6E5|STPAP_HUMAN	Q9H6E5	STPAP_HUMAN	TUT1	874	Homo sapiens	1:Experimental evidence at protein level	Speckle targeted PIP5K1A-regulated poly(A) polymerase	1.0000	0.9984	2	5	5	5	1	1	3	     0	     0	     0		
sp|Q9H6Q4|CIAO3_HUMAN	Q9H6Q4	CIAO3_HUMAN	CIAO3	476	Homo sapiens	1:Experimental evidence at protein level	Cytosolic iron-sulfur assembly component 3	1.0000	0.9961	2	5	5	5	1	1	3	     0	     0	     0		
sp|Q9H6R0|DHX33_HUMAN	Q9H6R0	DHX33_HUMAN	DHX33	707	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DHX33	1.0000	0.9976	3	3	3	3	0	1	2	     0	     0	     0		
sp|Q9H6R4|NOL6_HUMAN	Q9H6R4	NOL6_HUMAN	NOL6	1146	Homo sapiens	1:Experimental evidence at protein level	Nucleolar protein 6	1.0000	0.9977	3	6	6	6	1	1	4	     0	     0	     0		
sp|Q9H6S0|YTDC2_HUMAN	Q9H6S0	YTDC2_HUMAN	YTHDC2	1430	Homo sapiens	1:Experimental evidence at protein level	3'-5' RNA helicase YTHDC2	1.0000	0.9855	3	4	4	4	0	2	2	     0	     0	     0		
sp|Q9H6W3|RIOX1_HUMAN	Q9H6W3	RIOX1_HUMAN	RIOX1	641	Homo sapiens	1:Experimental evidence at protein level	Ribosomal oxygenase 1	1.0000	0.9963	2	3	3	3	0	0	3	     0	     0	     0		
sp|Q9H765|ASB8_HUMAN	Q9H765	ASB8_HUMAN	ASB8	288	Homo sapiens	1:Experimental evidence at protein level	Ankyrin repeat and SOCS box protein 8	1.0000	0.9932	2	5	5	5	1	2	2	     0	     0	     0		
sp|Q9H7B2|RPF2_HUMAN	Q9H7B2	RPF2_HUMAN	RPF2	306	Homo sapiens	1:Experimental evidence at protein level	Ribosome production factor 2 homolog	1.0000	0.9945	2	2	2	2	1	1	0	     0	     0	     0		
sp|Q9H7B4|SMYD3_HUMAN	Q9H7B4	SMYD3_HUMAN	SMYD3	428	Homo sapiens	1:Experimental evidence at protein level	Histone-lysine N-methyltransferase SMYD3	1.0000	0.9989	2	8	8	8	1	1	6	     0	     0	     0		
sp|Q9H7F0|AT133_HUMAN	Q9H7F0	AT133_HUMAN	ATP13A3	1226	Homo sapiens	1:Experimental evidence at protein level	Polyamine-transporting ATPase 13A3	1.0000	0.9964	5	7	6	7	0	2	5	     0	     0	     0		
sp|Q9H7N4|SFR19_HUMAN	Q9H7N4	SFR19_HUMAN	SCAF1	1312	Homo sapiens	1:Experimental evidence at protein level	Splicing factor, arginine/serine-rich 19	1.0000	0.9915	2	4	4	4	0	2	2	     0	     0	     0		
sp|Q9H7P9|PKHG2_HUMAN	Q9H7P9	PKHG2_HUMAN	PLEKHG2	1386	Homo sapiens	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 2	1.0000	0.9984	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q9H7Z6|KAT8_HUMAN	Q9H7Z6	KAT8_HUMAN	KAT8	458	Homo sapiens	1:Experimental evidence at protein level	Histone acetyltransferase KAT8	1.0000	0.9957	3	5	5	5	1	1	3	     0	     0	     0		
sp|Q9H7Z7|PGES2_HUMAN	Q9H7Z7	PGES2_HUMAN	PTGES2	377	Homo sapiens	1:Experimental evidence at protein level	Prostaglandin E synthase 2	1.0000	0.9934	2	2	2	2	1	1	0	     0	     0	     0		
sp|Q9H832|UBE2Z_HUMAN	Q9H832	UBE2Z_HUMAN	UBE2Z	354	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 Z	1.0000	0.9956	1	3	3	3	0	0	3	     0	     0	     0		
sp|Q9H8H0|NOL11_HUMAN	Q9H8H0	NOL11_HUMAN	NOL11	719	Homo sapiens	1:Experimental evidence at protein level	Nucleolar protein 11	1.0000	0.9989	2	7	7	7	1	2	4	     0	     0	     0		
sp|Q9H8H2|DDX31_HUMAN	Q9H8H2	DDX31_HUMAN	DDX31	851	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent DNA helicase DDX31	1.0000	0.9978	2	8	8	8	1	3	4	     0	     0	     0		
sp|Q9H8M2|BRD9_HUMAN	Q9H8M2	BRD9_HUMAN	BRD9	597	Homo sapiens	1:Experimental evidence at protein level	Bromodomain-containing protein 9	1.0000	0.9982	3	3	3	3	0	3	0	     0	     0	     0		
sp|Q9H8S9|MOB1A_HUMAN	Q9H8S9	MOB1A_HUMAN	MOB1A	216	Homo sapiens	1:Experimental evidence at protein level	MOB kinase activator 1A	1.0000	0.9955	2	6	2	6	2	1	3	     0	     0	     0		
sp|Q9H8V3|ECT2_HUMAN	Q9H8V3	ECT2_HUMAN	ECT2	914	Homo sapiens	1:Experimental evidence at protein level	Protein ECT2	1.0000	0.9917	2	4	4	4	1	2	1	     0	     0	     0		
sp|Q9H967|WDR76_HUMAN	Q9H967	WDR76_HUMAN	WDR76	626	Homo sapiens	1:Experimental evidence at protein level	WD repeat-containing protein 76	1.0000	0.9983	4	10	10	10	3	3	4	     0	     0	     0		
sp|Q9H992|MARH7_HUMAN	Q9H992	MARH7_HUMAN	MARCHF7	704	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase MARCHF7	1.0000	0.9928	2	5	5	5	0	3	2	     0	     0	     0		
sp|Q9H993|ARMT1_HUMAN	Q9H993	ARMT1_HUMAN	DCPH1	441	Homo sapiens	1:Experimental evidence at protein level	Damage-control phosphatase 1	1.0000	0.9978	1	5	5	5	0	1	4	     0	     0	     0		
sp|Q9H9B1|EHMT1_HUMAN	Q9H9B1	EHMT1_HUMAN	EHMT1	1298	Homo sapiens	1:Experimental evidence at protein level	Histone-lysine N-methyltransferase EHMT1	1.0000	0.9983	2	4	4	4	0	2	2	     0	     0	     0		
sp|Q9H9E3|COG4_HUMAN	Q9H9E3	COG4_HUMAN	COG4	785	Homo sapiens	1:Experimental evidence at protein level	Conserved oligomeric Golgi complex subunit 4	1.0000	0.9969	2	3	3	3	1	2	0	     0	     0	     0		
sp|Q9H9L7|AKIR1_HUMAN	Q9H9L7	AKIR1_HUMAN	AKIRIN1	192	Homo sapiens	1:Experimental evidence at protein level	Akirin-1	1.0000	0.9988	3	3	3	3	0	1	2	     0	     0	     0		
sp|Q9H9Y6|RPA2_HUMAN	Q9H9Y6	RPA2_HUMAN	POLR1B	1135	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase I subunit RPA2	1.0000	0.9959	4	8	8	8	2	3	3	     0	     0	     0		
sp|Q9HAH7|FBRS_HUMAN	Q9HAH7	FBRS_HUMAN	FBRS	460	Homo sapiens	1:Experimental evidence at protein level	Probable fibrosin-1	1.0000	0.9947	3	5	5	5	0	2	3	     0	     0	     0		
sp|Q9HAV4|XPO5_HUMAN	Q9HAV4	XPO5_HUMAN	XPO5	1204	Homo sapiens	1:Experimental evidence at protein level	Exportin-5	1.0000	0.9989	4	11	11	11	1	4	6	     0	     0	     0		
sp|Q9HAW4|CLSPN_HUMAN	Q9HAW4	CLSPN_HUMAN	CLSPN	1339	Homo sapiens	1:Experimental evidence at protein level	Claspin	1.0000	0.9979	3	7	7	7	1	2	4	     0	     0	     0		
sp|Q9HAY2|MAGF1_HUMAN	Q9HAY2	MAGF1_HUMAN	MAGEF1	307	Homo sapiens	1:Experimental evidence at protein level	Melanoma-associated antigen F1	1.0000	0.9971	3	6	6	6	0	3	3	     0	     0	     0		
sp|Q9HB19|PKHA2_HUMAN	Q9HB19	PKHA2_HUMAN	PLEKHA2	425	Homo sapiens	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family A member 2	1.0000	0.9964	3	4	4	4	0	1	3	     0	     0	     0		
sp|Q9HB58|SP110_HUMAN	Q9HB58	SP110_HUMAN	SP110	689	Homo sapiens	1:Experimental evidence at protein level	Sp110 nuclear body protein	1.0000	0.9971	2	2	2	2	0	2	0	     0	     0	     0		
sp|Q9HB96|FANCE_HUMAN	Q9HB96	FANCE_HUMAN	FANCE	536	Homo sapiens	1:Experimental evidence at protein level	Fanconi anemia group E protein	1.0000	0.9958	2	3	3	3	0	1	2	     0	     0	     0		
sp|Q9HBE5|IL21R_HUMAN	Q9HBE5	IL21R_HUMAN	IL21R	538	Homo sapiens	1:Experimental evidence at protein level	Interleukin-21 receptor	1.0000	0.9892	3	3	3	3	0	2	1	     0	     0	     0		
sp|Q9HBG6|IF122_HUMAN	Q9HBG6	IF122_HUMAN	IFT122	1241	Homo sapiens	1:Experimental evidence at protein level	Intraflagellar transport protein 122 homolog	1.0000	0.9976	1	4	4	4	1	1	2	     0	     0	     0		
sp|Q9HBH0|RHOF_HUMAN	Q9HBH0	RHOF_HUMAN	RHOF	211	Homo sapiens	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoF	1.0000	0.9982	2	4	4	4	0	0	4	     0	     0	     0		
sp|Q9HBL8|NMRL1_HUMAN	Q9HBL8	NMRL1_HUMAN	NMRAL1	299	Homo sapiens	1:Experimental evidence at protein level	NmrA-like family domain-containing protein 1	1.0000	0.9990	2	8	8	8	1	3	4	     0	     0	     0		
sp|Q9HBM6|TAF9B_HUMAN	Q9HBM6	TAF9B_HUMAN	TAF9B	251	Homo sapiens	1:Experimental evidence at protein level	Transcription initiation factor TFIID subunit 9B	1.0000	0.9963	3	6	2	6	0	2	4	     0	     0	     0		
sp|Q9HBR0|S38AA_HUMAN	Q9HBR0	S38AA_HUMAN	SLC38A10	1119	Homo sapiens	1:Experimental evidence at protein level	Solute carrier family 38 member 10	1.0000	0.9909	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9HBU6|EKI1_HUMAN	Q9HBU6	EKI1_HUMAN	ETNK1	452	Homo sapiens	1:Experimental evidence at protein level	Ethanolamine kinase 1	1.0000	0.9990	2	6	6	6	4	1	1	     0	     0	     0		
sp|Q9HC77|CPAP_HUMAN	Q9HC77	CPAP_HUMAN	CPAP	1338	Homo sapiens	1:Experimental evidence at protein level	Centrosomal P4.1-associated protein	1.0000	0.9980	4	4	4	4	0	1	3	     0	     0	     0		
sp|Q9HC98|NEK6_HUMAN	Q9HC98	NEK6_HUMAN	NEK6	313	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase Nek6	1.0000	0.9956	4	4	2	4	0	1	3	     0	     0	     0		
sp|Q9HCE1|MOV10_HUMAN	Q9HCE1	MOV10_HUMAN	MOV10	1003	Homo sapiens	1:Experimental evidence at protein level	RNA helicase MOV-10	1.0000	0.9954	5	8	8	8	2	3	3	     0	     0	     0		
sp|Q9HCG8|CWC22_HUMAN	Q9HCG8	CWC22_HUMAN	CWC22	908	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-splicing factor CWC22 homolog	1.0000	0.9969	2	4	4	4	1	1	2	     0	     0	     0		
sp|Q9HCH3|CPNE5_HUMAN	Q9HCH3	CPNE5_HUMAN	CPNE5	593	Homo sapiens	1:Experimental evidence at protein level	Copine-5	1.0000	0.9983	3	4	4	6	0	1	3	     0	     0	     0		
sp|Q9HCK8|CHD8_HUMAN	Q9HCK8	CHD8_HUMAN	CHD8	2581	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent chromatin remodeler CHD8	1.0000	0.9953	6	5	4	8	1	1	3	     0	     0	     0		
sp|Q9HCN4|GPN1_HUMAN	Q9HCN4	GPN1_HUMAN	GPN1	374	Homo sapiens	1:Experimental evidence at protein level	GPN-loop GTPase 1	1.0000	0.9979	2	13	13	13	2	5	6	     0	     0	     0		
sp|Q9HCS7|SYF1_HUMAN	Q9HCS7	SYF1_HUMAN	XAB2	855	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-splicing factor SYF1	1.0000	0.9972	5	10	10	10	3	5	2	     0	     0	     0		
sp|Q9HD15|SRA1_HUMAN	Q9HD15	SRA1_HUMAN	SRA1	224	Homo sapiens	1:Experimental evidence at protein level	Steroid receptor RNA activator 1	1.0000	0.9938	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9HD20|AT131_HUMAN	Q9HD20	AT131_HUMAN	ATP13A1	1204	Homo sapiens	1:Experimental evidence at protein level	Endoplasmic reticulum transmembrane helix translocase	1.0000	0.9969	4	4	4	4	0	2	2	     0	     0	     0		
sp|Q9HD26|GOPC_HUMAN	Q9HD26	GOPC_HUMAN	GOPC	462	Homo sapiens	1:Experimental evidence at protein level	Golgi-associated PDZ and coiled-coil motif-containing protein	1.0000	0.9882	2	2	2	2	0	2	0	     0	     0	     0		
sp|Q9HD34|LYRM4_HUMAN	Q9HD34	LYRM4_HUMAN	LYRM4	91	Homo sapiens	1:Experimental evidence at protein level	LYR motif-containing protein 4	1.0000	0.9990	1	3	3	3	0	1	2	     0	     0	     0		
sp|Q9HD45|TM9S3_HUMAN	Q9HD45	TM9S3_HUMAN	TM9SF3	589	Homo sapiens	1:Experimental evidence at protein level	Transmembrane 9 superfamily member 3	1.0000	0.9949	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9NNW5|WDR6_HUMAN	Q9NNW5	WDR6_HUMAN	WDR6	1121	Homo sapiens	1:Experimental evidence at protein level	tRNA (34-2'-O)-methyltransferase regulator WDR6	1.0000	0.9962	4	7	7	7	1	3	3	     0	     0	     0		
sp|Q9NP50|SHCAF_HUMAN	Q9NP50	SHCAF_HUMAN	SINHCAF	221	Homo sapiens	1:Experimental evidence at protein level	SIN3-HDAC complex-associated factor	1.0000	0.9989	3	11	11	11	2	4	5	     0	     0	     0		
sp|Q9NP77|SSU72_HUMAN	Q9NP77	SSU72_HUMAN	SSU72	194	Homo sapiens	1:Experimental evidence at protein level	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	1.0000	0.9990	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9NP97|DLRB1_HUMAN	Q9NP97	DLRB1_HUMAN	DYNLRB1	96	Homo sapiens	1:Experimental evidence at protein level	Dynein light chain roadblock-type 1	1.0000	0.9983	3	13	13	13	3	4	6	     0	     0	     0		
sp|Q9NPD8|UBE2T_HUMAN	Q9NPD8	UBE2T_HUMAN	UBE2T	197	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 T	1.0000	0.9955	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q9NPE3|NOP10_HUMAN	Q9NPE3	NOP10_HUMAN	NOP10	64	Homo sapiens	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit 3	1.0000	0.9990	6	14	14	14	3	5	6	     0	     0	     0		
sp|Q9NPF2|CHSTB_HUMAN	Q9NPF2	CHSTB_HUMAN	CHST11	352	Homo sapiens	1:Experimental evidence at protein level	Carbohydrate sulfotransferase 11	1.0000	0.9972	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q9NPF5|DMAP1_HUMAN	Q9NPF5	DMAP1_HUMAN	DMAP1	467	Homo sapiens	1:Experimental evidence at protein level	DNA methyltransferase 1-associated protein 1	1.0000	0.9987	1	3	3	3	0	0	3	     0	     0	     0		
sp|Q9NPG3|UBN1_HUMAN	Q9NPG3	UBN1_HUMAN	UBN1	1134	Homo sapiens	1:Experimental evidence at protein level	Ubinuclein-1	1.0000	0.9940	2	2	2	2	1	0	1	     0	     0	     0		
sp|Q9NPI6|DCP1A_HUMAN	Q9NPI6	DCP1A_HUMAN	DCP1A	582	Homo sapiens	1:Experimental evidence at protein level	mRNA-decapping enzyme 1A	1.0000	0.9981	2	2	2	2	0	0	2	     0	     0	     0		
sp|Q9NPQ8|RIC8A_HUMAN	Q9NPQ8	RIC8A_HUMAN	RIC8A	531	Homo sapiens	1:Experimental evidence at protein level	Chaperone Ric-8A	1.0000	0.9977	1	2	2	2	0	1	1	     0	     0	     0		
sp|Q9NQ25|SLAF7_HUMAN	Q9NQ25	SLAF7_HUMAN	SLAMF7	335	Homo sapiens	1:Experimental evidence at protein level	SLAM family member 7	1.0000	0.9983	3	4	4	4	0	0	4	     0	     0	     0		
